City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tucuma,-0.1833,-50.05,87.98,59,100,12.82,BR,1726514132
83,barki saria,24.1667,85.8833,74.7,96,100,14.99,IN,1726514133
84,ishigaki,24.3448,124.1572,86.13,79,75,18.41,JP,1726514134
85,albany,42.6001,-73.9662,81.81,44,3,1.01,US,1726514063
86,revda,56.801,59.9303,43.92,71,0,3.83,RU,1726514136
87,thompson,55.7435,-97.8558,68.16,52,40,2.3,CA,1726514137
88,argo,37.6333,22.7333,70.72,62,2,1.59,GR,1726514138
89,dergaon,26.7,93.9667,79.43,90,100,4.05,IN,1726514140
90,tromso,69.6496,18.957,55.42,71,75,11.5,NO,1726514141
91,meadow lake,34.8014,-106.5436,69.28,27,12,15.68,US,1726514142
92,augusta,48.3667,10.8833,49.68,93,100,8.05,DE,1726514019
93,east london,-33.0153,27.9116,64.02,72,100,4.81,ZA,1726514144
94,sungailiat,-1.85,106.1333,78.55,85,100,6.67,ID,1726514145
95,badger,64.8,-147.5333,43.74,91,75,0.0,US,1726514146
96,bilibino,68.0546,166.4372,29.91,98,100,3.11,RU,1726514147
97,kichmengskiy gorodok,59.9816,45.7854,57.67,74,77,4.32,RU,1726514148
98,dolbeau-mistassini,48.8763,-72.212,86.47,50,4,12.08,CA,1726514149
99,stanley,54.868,-1.6985,51.76,84,0,3.44,GB,1726514150
100,hasaki,35.7333,140.8333,74.43,90,58,5.86,JP,1726514151
101,severnoye,56.3491,78.3619,37.67,82,16,5.77,RU,1726514152
102,lebu,-37.6167,-73.65,53.01,65,100,16.64,CL,1726514153
103,bima,-8.4667,118.7167,71.29,90,96,3.94,ID,1726514155
104,koryazhma,61.3143,47.1691,58.69,74,88,4.83,RU,1726514156
105,akureyri,65.6835,-18.0878,48.13,66,0,16.11,IS,1726513950
106,karratha,-20.7377,116.8463,73.76,28,0,14.83,AU,1726514158
107,saryozek,44.3583,77.9753,53.47,49,99,4.43,KZ,1726514159
108,broken hill,-31.95,141.4333,41.59,57,0,5.59,AU,1726514160
109,kirakira,-10.4544,161.9205,77.56,89,21,4.18,SB,1726514161
110,puerto baquerizo moreno,-0.9,-89.6,74.39,73,100,12.66,EC,1726514162
111,port moresby,-9.4431,147.1797,75.09,90,100,12.35,PG,1726514163
112,miyako,39.6367,141.9525,64.72,86,54,4.74,JP,1726513917
113,tofol,5.3248,163.0078,83.95,72,91,10.58,FM,1726514165
114,enewetak,11.3474,162.3373,83.34,76,24,9.57,MH,1726514166
115,new norfolk,-42.7826,147.0587,46.71,86,100,6.49,AU,1726514167
116,fortuna,40.5982,-124.1573,64.44,77,0,6.91,US,1726514168
117,margate,51.3813,1.3862,59.7,74,6,1.99,GB,1726513704
118,sao raimundo nonato,-9.0153,-42.6994,95.5,21,0,6.44,BR,1726514171
119,cedro,-6.6067,-39.0622,98.71,19,0,5.57,BR,1726514172
120,adrar,20.5022,-10.0711,91.81,41,65,7.45,MR,1726514173
121,boguchar,49.9358,40.545,62.51,43,6,8.66,RU,1726514174
122,carnarvon,-24.8667,113.6333,69.76,37,0,13.91,AU,1726514093
123,neelankarai,12.9455,80.2575,85.95,83,40,6.91,IN,1726514176
124,san julian,21.0167,-102.1667,75.2,58,64,3.98,MX,1726514177
125,alice springs,-23.7,133.8833,53.15,24,22,4.61,AU,1726514178
126,poso,-1.3959,120.7524,76.68,78,100,4.88,ID,1726514179
127,williams lake,52.1415,-122.1445,54.97,71,75,4.61,CA,1726514180
128,west island,-12.1568,96.8225,78.78,69,17,16.11,CC,1726514181
129,zaozersk,69.4005,32.4476,47.88,86,100,7.05,RU,1726514182
130,ko pha ngan,9.7578,100.0291,77.41,79,100,24.34,TH,1726514183
131,fort bragg,35.139,-79.006,67.33,95,100,24.16,US,1726514184
132,ilha de mocambique,-15.0342,40.7358,77.2,78,1,11.54,MZ,1726514186
133,afaahiti,-17.75,-149.2833,75.24,86,37,11.56,PF,1726514187
134,kulhudhuffushi,6.6221,73.07,82.56,77,12,14.92,MV,1726514188
135,nysa,50.4738,17.3344,61.11,70,100,9.55,PL,1726514189
136,naze,28.3667,129.4833,79.72,86,41,15.57,JP,1726514190
137,westport,41.1415,-73.3579,72.1,63,0,10.36,US,1726513989
138,mao,39.8885,4.2658,72.16,49,20,10.36,ES,1726514193
139,colima,19.1667,-104.0,83.07,70,74,4.9,MX,1726514194
140,mbandaka,0.0487,18.2603,76.37,73,34,2.04,CD,1726514195
141,utrik,11.2278,169.8474,82.81,75,100,9.6,MH,1726514196
142,manga,11.6636,-1.0731,79.25,82,73,4.45,BF,1726514197
143,bansud,12.865,121.4564,74.89,98,100,4.92,PH,1726514198
144,badiyah,22.45,58.8,85.68,49,100,9.53,OM,1726514201
145,miyazaki,31.9111,131.4239,80.55,89,75,4.61,JP,1726514202
146,dubbo,-32.25,148.6167,33.93,93,0,3.44,AU,1726514166
147,mount isa,-20.7333,139.5,71.37,23,8,9.22,AU,1726514205
148,tulcea,45.1667,28.8,62.98,73,5,3.44,RO,1726514206
149,balassagyarmat,48.073,19.2961,52.66,96,98,2.59,HU,1726514207
150,avarua,-21.2078,-159.775,77.05,73,20,17.27,CK,1726514208
151,san patricio,28.017,-97.5169,84.15,44,2,5.73,US,1726514209
152,rikaze,29.25,88.8833,55.65,49,100,3.24,CN,1726514210
153,constantia,44.1833,28.65,59.68,61,9,11.07,RO,1726513985
154,nar'yan-mar,67.6713,53.087,59.97,74,100,7.99,RU,1726514212
155,hithadhoo,-0.6,73.0833,83.46,76,99,10.98,MV,1726514214
156,hadibu,12.65,54.0333,78.13,77,6,13.58,YE,1726514215
157,sona,45.4388,10.8255,65.32,39,40,8.05,IT,1726514216
158,misratah,32.3754,15.0925,77.9,54,5,12.08,LY,1726514217
159,key west,24.5557,-81.7826,89.31,70,0,8.05,US,1726513877
160,mar del plata,-38.0023,-57.5575,64.94,52,0,4.0,AR,1726514072
161,muravlenko,63.7898,74.523,52.0,90,35,12.8,RU,1726514083
162,polyarnyy,69.1989,33.4478,49.14,88,100,6.76,RU,1726514221
163,portel,-1.9356,-50.8211,97.5,33,73,6.49,BR,1726514222
164,sinabang,2.4803,96.3801,77.68,87,100,7.58,ID,1726514224
165,berdigestyakh,62.0989,126.6992,29.23,93,100,5.01,RU,1726514225
166,dryden,49.7833,-92.7503,77.29,53,40,3.44,CA,1726513989
167,ust-nera,64.5667,143.2,34.27,87,100,6.49,RU,1726514228
168,selfoss,63.9331,-20.9971,50.04,87,100,22.53,IS,1726514229
169,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,70,20,11.18,RU,1726514230
170,kangding,30.0513,101.9603,59.45,99,98,2.82,CN,1726514231
171,forde,61.4522,5.8572,51.91,100,75,3.44,NO,1726514232
172,el vendrell,41.2167,1.5333,70.65,74,0,3.0,ES,1726514187
173,kalemie,-5.9475,29.1947,76.77,41,10,0.96,CD,1726514234
174,gebeit,21.0667,36.3167,88.68,43,10,5.66,SD,1726514235
175,hawaiian paradise park,19.5933,-154.9731,81.81,82,100,9.22,US,1726514236
176,seaside,36.6111,-121.8516,61.25,90,100,11.01,US,1726514237
177,palikir - national government center,6.9248,158.1611,81.79,74,9,7.02,FM,1726514238
178,tazacorte,28.629,-17.9293,72.57,78,20,10.36,ES,1726514239
179,tekeli,44.83,78.8239,59.77,30,98,5.03,KZ,1726514240
180,bafoulabe,13.8065,-10.8321,78.49,89,100,3.6,ML,1726514242
181,ginir,7.1333,40.7,66.99,54,47,10.71,ET,1726514243
182,namibe,-15.1961,12.1522,65.39,84,91,1.3,AO,1726514244
183,semirom,31.4167,51.5667,55.98,32,0,3.15,IR,1726514245
184,bonthe,7.5264,-12.505,77.99,85,14,6.31,SL,1726514246
185,gaspe,48.8334,-64.4819,88.02,42,20,10.36,CA,1726514247
186,cockburn town,21.4612,-71.1419,91.36,75,40,13.8,TC,1726514010
187,mil'kovo,55.6078,37.7956,66.63,51,7,5.44,RU,1726514249
188,winona,43.9666,-91.7668,77.81,63,0,8.05,US,1726514199
189,orbetello,42.4408,11.2196,60.8,77,74,13.8,IT,1726514251
190,chonchi,-42.6128,-73.8092,54.14,59,100,1.3,CL,1726514252
191,ronne,55.1009,14.7066,62.51,88,100,8.05,DK,1726514253
192,cedeira,43.6797,-8.0209,61.83,83,29,29.12,ES,1726514254
193,papatowai,-46.5619,169.4708,37.99,83,99,16.22,NZ,1726514255
194,geidam,12.897,11.9304,87.19,49,87,6.55,NG,1726514256
195,happy valley-goose bay,53.3168,-60.3315,70.11,68,75,6.91,CA,1726514139
196,penryn,50.1681,-5.1042,59.67,88,20,4.61,GB,1726514259
197,luninyets,52.2472,26.8047,64.49,39,3,9.66,BY,1726514260
198,kundiawa,-6.0167,144.9667,59.92,98,76,1.95,PG,1726514262
199,batticaloa,7.7102,81.6924,82.09,68,100,7.36,LK,1726514263
200,myrina,39.8797,25.0742,63.64,72,0,0.0,GR,1726514264
201,gamba,-2.65,10.0,75.16,90,63,6.87,GA,1726514265
202,amqui,48.4638,-67.4313,81.23,47,3,14.03,CA,1726514044
203,canutama,-6.5339,-64.3831,99.23,32,67,4.41,BR,1726514267
204,kudahuvadhoo,2.6708,72.8944,84.49,72,64,12.97,MV,1726514268
205,keflavik,64.0049,-22.5624,48.63,93,100,21.85,IS,1726514269
206,puri,19.8,85.85,83.12,79,100,9.42,IN,1726514271
207,port hueneme,34.1478,-119.1951,70.38,58,0,19.57,US,1726514272
208,cannonvale,-20.2833,148.7,70.99,72,100,20.6,AU,1726514273
209,smithers,54.7804,-127.1743,55.72,76,100,0.0,CA,1726514166
210,qaqortoq,60.7167,-46.0333,40.73,80,100,4.23,GL,1726514275
211,merouana,35.6311,5.9119,68.16,23,0,6.82,DZ,1726514276
212,al lagowa,11.4,29.1333,77.61,79,100,1.43,SD,1726514277
213,brasileia,-11.0161,-68.7481,90.05,45,2,11.5,BR,1726514278
214,wanxian,30.8039,108.3897,81.82,70,34,3.87,CN,1726514279
215,casillas,14.4222,-90.2442,83.55,87,67,2.15,GT,1726514280
216,chistyye bory,58.3647,41.6278,57.85,76,95,2.89,RU,1726514281
217,greenville,35.6127,-77.3663,71.44,98,100,13.8,US,1726514020
218,macomb,40.4592,-90.6718,84.15,48,0,8.99,US,1726514086
219,nouadhibou,20.931,-17.0347,73.38,78,11,14.97,MR,1726514284
220,lihue,21.9789,-159.3672,80.1,80,100,12.66,US,1726514286
221,isafjordur,66.0755,-23.124,39.13,79,100,4.92,IS,1726514287
222,ippy,6.2679,21.2247,71.46,94,100,2.42,CF,1726514288
223,port alfred,-33.5906,26.891,59.18,86,51,3.87,ZA,1726514289
224,chernyshevskiy,63.0128,112.4714,31.03,83,99,6.93,RU,1726514290
225,barra do corda,-5.5,-45.25,103.55,18,0,4.74,BR,1726514291
226,crane,31.3974,-102.3501,87.19,40,0,17.05,US,1726514292
227,nidau,47.1255,7.2403,52.2,88,75,5.75,CH,1726514293
228,flying fish cove,-10.4217,105.6791,74.88,88,75,8.05,CX,1726514294
229,prince rupert,54.3161,-130.3201,55.36,99,100,21.85,CA,1726514295
230,ust'-ordynskiy,52.805,104.7508,41.18,70,100,4.79,RU,1726514296
231,robore,-18.3333,-59.75,82.49,54,61,0.0,BO,1726514297
232,luganville,-15.5333,167.1667,75.06,87,100,8.7,VU,1726514298
233,dudinka,69.4058,86.1778,37.78,92,20,6.15,RU,1726514299
234,al hufuf,25.3646,49.5653,91.74,43,0,8.05,SA,1726514300
235,visakhapatnam,17.69,83.2093,85.89,70,75,6.91,IN,1726514302
236,puerto ayora,-0.7393,-90.3518,70.56,97,91,5.01,EC,1726514303
237,kapuskasing,49.4169,-82.4331,86.0,48,75,19.57,CA,1726514304
238,udachny,66.4167,112.4,39.24,88,100,17.98,RU,1726514305
239,mount gambier,-37.8333,140.7667,50.56,60,99,6.98,AU,1726514306
240,casper,42.8666,-106.3131,83.93,21,20,13.8,US,1726514010
241,kerikeri,-35.2268,173.9474,51.49,75,100,10.0,NZ,1726514308
242,kisanga,-7.4362,37.7034,76.98,64,5,8.7,TZ,1726514309
243,aldama,22.9167,-98.0667,88.59,65,52,8.7,MX,1726514310
244,cabo san lucas,22.8909,-109.9124,87.76,54,0,12.66,MX,1726514154
245,vilyuchinsk,52.9306,158.4028,37.67,80,12,9.78,RU,1726514312
246,escanaba,45.7453,-87.0646,78.76,57,0,9.22,US,1726514121
247,luohe,33.5717,114.0353,72.23,83,99,8.25,CN,1726514314
248,arraial do cabo,-22.9661,-42.0278,75.06,83,75,16.11,BR,1726514089
249,dek'emhare,15.07,39.0475,60.78,81,95,5.53,ER,1726514317
250,mogocha,53.7333,119.7667,36.19,81,0,3.38,RU,1726514318
251,kindu,-2.95,25.95,79.25,57,100,2.82,CD,1726514319
252,itoman,26.1247,127.6694,82.56,81,40,20.71,JP,1726514320
253,uturoa,-16.7333,-151.4333,77.52,84,100,10.11,PF,1726514321
254,bayanaul,50.7889,75.6956,37.99,68,6,7.47,KZ,1726514322
255,grand rapids,42.9634,-85.6681,87.44,33,20,5.01,US,1726514176
256,el kala,36.8956,8.4433,71.04,70,100,9.01,DZ,1726514324
257,la ronge,55.1001,-105.2842,71.85,40,20,8.05,CA,1726514325
258,senanga,-16.1167,23.2667,81.66,14,5,6.51,ZM,1726514326
259,den burg,53.0542,4.7972,58.96,82,17,6.91,NL,1726514327
260,saint-pierre,-21.3393,55.4781,67.68,68,0,6.91,RE,1726514328
261,monte santo de minas,-21.1897,-46.9803,77.47,34,100,3.67,BR,1726514329
262,pisco,-13.7,-76.2167,64.45,77,100,9.22,PE,1726514330
263,orkney,-26.9802,26.6727,66.76,45,100,8.66,ZA,1726514332
264,usinsk,65.9939,57.5281,59.58,88,99,9.13,RU,1726514333
265,kalymnos,36.95,26.9833,72.93,64,20,4.61,GR,1726514334
266,rabaul,-4.1967,152.1721,78.26,84,13,7.18,PG,1726514335
267,hermanus,-34.4187,19.2345,50.81,74,0,10.87,ZA,1726514189
268,vila franca do campo,37.7167,-25.4333,73.81,69,100,5.73,PT,1726514337
269,tolanaro,-25.0319,46.9987,69.87,83,0,6.91,MG,1726514338
270,phan thiet,10.9333,108.1,77.72,86,100,6.58,VN,1726514339
271,keelung,25.1283,121.7419,82.38,81,2,20.6,TW,1726514340
272,buka,40.8108,69.1986,65.95,33,10,5.1,UZ,1726514341
273,ornskoldsvik,63.2909,18.7153,54.55,94,40,3.44,SE,1726514342
274,axim,4.8699,-2.2405,75.67,87,56,8.16,GH,1726514343
275,yarega,63.4354,53.5765,60.3,87,100,5.28,RU,1726514344
276,wanning,18.8003,110.3967,78.24,89,100,3.78,CN,1726514347
277,tinghir,31.5157,-5.5343,80.26,20,21,14.12,MA,1726514348
278,pacific grove,36.6177,-121.9166,60.13,91,100,11.01,US,1726514349
279,san antonio de pale,-1.4014,5.6325,76.6,84,85,13.53,GQ,1726514350
280,touros,-5.1989,-35.4608,80.33,66,0,18.86,BR,1726514352
281,tralee,52.2704,-9.7026,62.35,80,100,0.67,IE,1726514353
282,lata,40.1629,-8.3327,67.5,47,0,3.87,PT,1726514354
283,brookings,44.3114,-96.7984,75.2,69,75,13.8,US,1726514355
284,iskateley,67.6803,53.1512,60.03,73,100,7.94,RU,1726514356
285,portland,45.5234,-122.6762,66.51,66,40,6.91,US,1726514093
286,hammerfest,70.6634,23.6821,54.05,71,100,6.91,NO,1726514358
287,almora,29.6167,79.6667,65.89,96,57,0.2,IN,1726514360
288,andergrove,-21.0833,149.1833,68.41,72,100,17.31,AU,1726514361
289,jacksonville,30.3322,-81.6556,78.75,78,75,11.5,US,1726514352
290,ha'il,27.5219,41.6907,86.02,32,0,9.22,SA,1726514363
291,saudarkrokur,65.7461,-19.6394,42.51,67,97,4.74,IS,1726514364
292,queenstown,-31.8976,26.8753,52.75,80,100,9.91,ZA,1726514365
293,ad dabbah,18.05,30.95,97.0,15,0,8.59,SD,1726514366
294,tierra nueva,21.6833,-100.5667,79.36,52,73,3.47,MX,1726514367
295,clewiston,26.7542,-80.9337,86.09,65,91,9.55,US,1726514368
296,at taraf,25.3628,49.725,91.94,51,0,10.65,SA,1726514369
297,olyokminsk,60.3736,120.4264,31.32,91,16,3.33,RU,1726514371
298,pustoshka,56.3355,29.369,59.99,58,24,5.39,RU,1726514372
299,alo,6.5486,4.2686,77.97,88,68,7.14,NG,1726514373
300,saipan,15.1355,145.701,84.9,79,75,12.66,MP,1726514374
301,el nido,11.1858,119.3956,78.15,94,100,18.92,PH,1726514376
302,luena,-11.7833,19.9167,71.98,20,4,1.57,AO,1726514377
303,pandan,14.0453,124.1694,78.62,91,100,9.13,PH,1726514378
304,porto novo,6.4965,2.6036,77.22,86,0,7.49,BJ,1726514379
305,fale old settlement,-9.3852,-171.2468,80.56,81,67,9.01,TK,1726514380
306,montego bay,18.4712,-77.9188,87.6,79,40,16.11,JM,1726514233
307,george town,5.4112,100.3354,77.05,87,20,4.61,MY,1726514111
308,laguna,38.421,-121.4238,68.56,56,40,10.36,US,1726514383
309,sarande,39.8756,20.0053,69.13,64,100,4.21,AL,1726514384
310,kolonia,50.9333,6.95,63.5,79,75,5.75,DE,1726514283
311,najran,17.4924,44.1277,82.22,16,6,5.73,SA,1726514386
312,zhanaozen,43.3,52.8,68.5,31,0,11.25,KZ,1726514387
313,altamira,-3.2033,-52.2064,95.09,49,40,3.44,BR,1726514115
314,chibougamau,49.9168,-74.3659,80.22,50,75,14.97,CA,1726514238
315,labasa,-16.4167,179.3833,74.59,77,90,1.61,FJ,1726514391
316,okha,53.5739,142.9478,52.0,82,100,7.9,RU,1726514392
317,walvis bay,-22.9575,14.5053,54.09,94,25,15.3,NA,1726514393
318,ballina,-28.8667,153.5667,53.58,87,20,9.1,AU,1726514395
319,carbonear,47.7332,-53.2148,66.94,66,100,17.49,CA,1726514396
320,ulsteinvik,62.3432,5.8487,56.55,82,100,1.99,NO,1726514398
321,kapa'a,22.0752,-159.319,79.9,80,100,12.66,US,1726514399
322,christchurch,-43.5333,172.6333,37.31,91,75,16.11,NZ,1726514400
323,chardara,41.2547,67.9692,71.11,40,100,5.88,KZ,1726514343
324,shahba,32.8551,36.629,64.0,76,0,17.38,SY,1726514403
325,bridgewater,44.3835,-64.5155,77.18,61,0,11.01,CA,1726514404
326,tlapa de comonfort,17.55,-98.55,84.58,64,99,2.28,MX,1726514405
327,holualoa,19.6228,-155.9522,80.22,79,75,10.36,US,1726514406
328,saldanha,-33.0117,17.9442,53.65,80,0,20.62,ZA,1726514407
329,zacatecoluca,13.5,-88.8667,89.78,76,70,8.3,SV,1726514408
330,bel ombre,-4.6167,55.4167,78.64,89,40,18.41,SC,1726514409
331,callao,-12.0667,-77.15,62.89,77,100,6.91,PE,1726514408
332,tocopilla,-22.092,-70.1979,66.67,61,1,6.13,CL,1726514411
333,waddan,29.1614,16.139,88.81,37,87,8.25,LY,1726514412
334,codrington,-38.2667,141.9667,45.77,86,99,7.74,AU,1726514414
335,wajir,1.7471,40.0573,85.68,39,47,15.1,KE,1726514415
336,belmopan,17.25,-88.7667,94.26,49,44,7.65,BZ,1726514416
337,fort mcmurray,56.7268,-111.381,67.51,48,100,12.66,CA,1726514418
338,al jawf,29.5,38.75,80.02,33,0,7.65,SA,1726514419
339,nizhneudinsk,54.9076,99.0276,33.87,89,100,1.86,RU,1726514420
340,elverum,60.8819,11.5623,50.81,97,71,0.45,NO,1726514421
341,fada,7.25,4.0667,83.07,78,75,3.44,NG,1726514422
342,natal,-5.795,-35.2094,82.62,54,20,23.02,BR,1726514263
343,miri,4.4148,114.0089,86.14,70,20,8.05,MY,1726514424
344,sao gabriel da cachoeira,-0.1303,-67.0892,94.8,52,20,6.91,BR,1726514426
345,baie-comeau,49.2168,-68.1489,65.88,72,75,25.32,CA,1726514427
346,lundazi,-12.2929,33.1782,68.43,37,0,6.49,ZM,1726514428
347,tura,25.5198,90.2201,75.36,88,100,2.71,IN,1726514429
348,punch,33.7679,74.0897,68.76,56,0,7.78,IN,1726514430
349,cooper's town,26.8667,-77.5167,85.1,75,87,9.26,BS,1726514432
350,mulchen,-37.7167,-72.2333,66.9,34,100,7.02,CL,1726514433
351,sena madureira,-9.0656,-68.6569,103.3,20,0,3.13,BR,1726514434
352,itabira,-19.6192,-43.2269,85.44,31,0,4.63,BR,1726514435
353,malabar,-33.9667,151.25,49.48,77,8,5.75,AU,1726514436
354,port hedland,-20.3167,118.5667,75.25,23,0,11.5,AU,1726514437
355,burley,42.5357,-113.7928,69.76,60,0,9.22,US,1726514438
356,baruun-urt,46.6806,113.2792,46.87,58,25,4.21,MN,1726514439
357,kuta,-8.7233,115.1723,75.15,100,40,1.14,ID,1726514440
358,veinticinco de mayo,-35.4323,-60.1727,74.86,33,0,4.88,AR,1726514268
359,ariquemes,-9.9133,-63.0408,103.24,24,45,3.49,BR,1726514442
360,rawai,7.7797,98.3253,78.98,99,100,27.22,TH,1726514443
361,frontera,26.9333,-101.45,77.9,80,83,5.01,MX,1726514444
362,lisala,2.15,21.5167,72.54,85,23,1.88,CD,1726514445
363,corowa,-36.0333,146.3833,37.42,89,7,4.88,AU,1726514447
364,aripuana,-9.1667,-60.6333,106.7,17,1,1.23,BR,1726514448
365,laojunmiao,39.8333,97.7333,57.38,71,7,3.87,CN,1726514449
366,iquique,-20.2208,-70.1431,61.09,78,33,1.28,CL,1726514385
367,santana,-0.0583,-51.1817,95.18,55,40,11.5,BR,1726514166
